I, [2017-06-25T19:24:00.532776 #34677]  INFO -- Kitchen: -----> Starting Kitchen (v1.14.2)
E, [2017-06-25T19:24:00.533034 #34677] ERROR -- Kitchen: ------Exception-------
E, [2017-06-25T19:24:00.533054 #34677] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2017-06-25T19:24:00.533078 #34677] ERROR -- Kitchen: Message: Kitchen YAML file /Users/gschofield/Workspace/cookbooks/spring_service/.kitchen.yml does not exist.
E, [2017-06-25T19:24:00.533097 #34677] ERROR -- Kitchen: ----------------------
E, [2017-06-25T19:24:00.533106 #34677] ERROR -- Kitchen: ------Backtrace-------
E, [2017-06-25T19:24:00.533114 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2017-06-25T19:24:00.533122 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:152:in `data'
E, [2017-06-25T19:24:00.533130 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:131:in `suites'
E, [2017-06-25T19:24:00.533162 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2017-06-25T19:24:00.533171 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2017-06-25T19:24:00.533179 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/config.rb:117:in `instances'
E, [2017-06-25T19:24:00.533187 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2017-06-25T19:24:00.533195 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2017-06-25T19:24:00.533203 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/test.rb:40:in `block in call'
E, [2017-06-25T19:24:00.533211 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.3.0/benchmark.rb:293:in `measure'
E, [2017-06-25T19:24:00.533219 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/command/test.rb:38:in `call'
E, [2017-06-25T19:24:00.533227 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:53:in `perform'
E, [2017-06-25T19:24:00.533235 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:234:in `test'
E, [2017-06-25T19:24:00.533243 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/command.rb:27:in `run'
E, [2017-06-25T19:24:00.533251 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/invocation.rb:126:in `invoke_command'
E, [2017-06-25T19:24:00.533259 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2017-06-25T19:24:00.533266 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor.rb:369:in `dispatch'
E, [2017-06-25T19:24:00.533274 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/thor-0.19.4/lib/thor/base.rb:444:in `start'
E, [2017-06-25T19:24:00.533282 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `block in <top (required)>'
E, [2017-06-25T19:24:00.533290 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2017-06-25T19:24:00.533298 #34677] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.3.0/gems/test-kitchen-1.14.2/bin/kitchen:13:in `<top (required)>'
E, [2017-06-25T19:24:00.533310 #34677] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `load'
E, [2017-06-25T19:24:00.533318 #34677] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:21:in `<main>'
E, [2017-06-25T19:24:00.533333 #34677] ERROR -- Kitchen: ----End Backtrace-----
